LocalGovernment,Camp,Latitude,Longitude,SurveyDate,FlyingFoxesAbsent,BlackFlyingFox.Count,GreyHeadedFlyingFox.Count,LittleRedFlyingFox.Count,TotalSpecies.Count,EHP.CampId,CSIRO.CampId
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,13/09/13,FALSE,2000,0,0,2000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,15/05/14,FALSE,4000,0,0,4000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,15/05/15,FALSE,500,100,0,600,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,15/06/12,FALSE,1000,0,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,15/08/14,FALSE,208,4992,0,5200,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,15/11/13,FALSE,4000,0,0,4000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,16/03/12,FALSE,120,1080,0,1200,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,16/08/13,FALSE,7000,0,0,7000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,16/09/11,FALSE,500,4500,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,16/11/12,FALSE,4000,0,0,4000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,16/12/11,FALSE,100,900,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,17/01/14,FALSE,5000,0,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,17/03/13,FALSE,5000,0,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,17/08/12,FALSE,2000,0,0,2000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,18/02/12,FALSE,100,900,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,18/05/13,FALSE,2000,0,0,2000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,18/07/13,FALSE,3500,0,0,3500,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,19/09/14,FALSE,8000,2000,0,10000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,19/10/12,FALSE,4000,0,0,4000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,19/11/11,FALSE,1000,4000,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,19/12/14,FALSE,600,400,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,20/01/12,FALSE,100,900,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,20/04/12,FALSE,1000,0,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,20/05/16,FALSE,800,200,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,20/06/14,FALSE,5000,0,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,20/11/15,FALSE,1000,6000,0,7000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,21/07/12,FALSE,1500,0,0,1500,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,21/10/11,FALSE,300,2700,0,3000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,21/11/14,FALSE,600,400,0,1000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,21/12/12,FALSE,5000,0,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,22/03/14,FALSE,5000,0,0,5000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,22/07/14,FALSE,325,6175,0,6500,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,22/09/14,FALSE,550,4950,0,5500,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,22/11/13,FALSE,3000,0,0,3000,1,270
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,23/02/15,FALSE,400,0,0,400,1,270
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,01/06/12,FALSE,320,30,0,350,2,271
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,14/03/13,FALSE,800,0,350,1150,2,271
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,15/02/13,FALSE,800,0,0,800,2,271
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,15/04/11,FALSE,350,750,0,1100,2,271
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,15/07/11,TRUE,0,0,0,0,2,271
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,16/04/10,FALSE,220,40,0,260,2,271
